"scenario","sample_size","weight_profile","effective_sample_size","method","repetitions","significance_level","rejection_rate"
"linear",200,"lognormal",109.270517490634,"chatterjee",10000,0.05,0.1424
"linear",500,"equal",500,"pearson",10000,0.05,0.9998
"linear",500,"equal",500,"spearman",10000,0.05,0.9997
"linear",500,"equal",500,"kendall",10000,0.05,0.9997
"linear",500,"equal",500,"blomqvist",10000,0.05,0.9572
"linear",500,"equal",500,"hoeffding",10000,0.05,0.999
"linear",500,"equal",500,"chatterjee",10000,0.05,0.348
"linear",500,"lognormal",269.063481550345,"pearson",10000,0.05,0.9887
"linear",500,"lognormal",269.063481550345,"spearman",10000,0.05,0.9762
"linear",500,"lognormal",269.063481550345,"kendall",10000,0.05,0.9795
"linear",500,"lognormal",269.063481550345,"blomqvist",10000,0.05,0.7507
"linear",500,"lognormal",269.063481550345,"hoeffding",10000,0.05,0.9563
"linear",500,"lognormal",269.063481550345,"chatterjee",10000,0.05,0.2126
"quadratic",50,"equal",50,"pearson",10000,0.05,0.1502
"quadratic",50,"equal",50,"spearman",10000,0.05,0.067
"quadratic",50,"equal",50,"kendall",10000,0.05,0.0829
"quadratic",50,"equal",50,"blomqvist",10000,0.05,0.0981
"quadratic",50,"equal",50,"hoeffding",10000,0.05,0.2303
"quadratic",50,"equal",50,"chatterjee",10000,0.05,0.3021
"quadratic",50,"lognormal",28.5331137315319,"pearson",10000,0.05,0.1124
"quadratic",50,"lognormal",28.5331137315319,"spearman",10000,0.05,0.0543
"quadratic",50,"lognormal",28.5331137315319,"kendall",10000,0.05,0.0694
"quadratic",50,"lognormal",28.5331137315319,"blomqvist",10000,0.05,0.0783
"quadratic",50,"lognormal",28.5331137315319,"hoeffding",10000,0.05,0.1592
"quadratic",50,"lognormal",28.5331137315319,"chatterjee",10000,0.05,0.1921
"quadratic",100,"equal",100,"pearson",10000,0.05,0.1591
"quadratic",100,"equal",100,"spearman",10000,0.05,0.0596
"quadratic",100,"equal",100,"kendall",10000,0.05,0.0743
"quadratic",100,"equal",100,"blomqvist",10000,0.05,0.0814
"quadratic",100,"equal",100,"hoeffding",10000,0.05,0.5078
"quadratic",100,"equal",100,"chatterjee",10000,0.05,0.4978
"quadratic",100,"lognormal",55.6183015777355,"pearson",10000,0.05,0.1309
"quadratic",100,"lognormal",55.6183015777355,"spearman",10000,0.05,0.0577
"quadratic",100,"lognormal",55.6183015777355,"kendall",10000,0.05,0.074
"quadratic",100,"lognormal",55.6183015777355,"blomqvist",10000,0.05,0.0666
"quadratic",100,"lognormal",55.6183015777355,"hoeffding",10000,0.05,0.2719
"quadratic",100,"lognormal",55.6183015777355,"chatterjee",10000,0.05,0.3257
"quadratic",200,"equal",200,"pearson",10000,0.05,0.164
"quadratic",200,"equal",200,"spearman",10000,0.05,0.065
"quadratic",200,"equal",200,"kendall",10000,0.05,0.0822
"quadratic",200,"equal",200,"blomqvist",10000,0.05,0.0767
"quadratic",200,"equal",200,"hoeffding",10000,0.05,0.9175
"quadratic",200,"equal",200,"chatterjee",10000,0.05,0.7555
"quadratic",200,"lognormal",109.270517490634,"pearson",10000,0.05,0.1445
"quadratic",200,"lognormal",109.270517490634,"spearman",10000,0.05,0.0622
"quadratic",200,"lognormal",109.270517490634,"kendall",10000,0.05,0.0782
"quadratic",200,"lognormal",109.270517490634,"blomqvist",10000,0.05,0.0651
"quadratic",200,"lognormal",109.270517490634,"hoeffding",10000,0.05,0.564
"quadratic",200,"lognormal",109.270517490634,"chatterjee",10000,0.05,0.5179
